UDI,Product ID,Type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,Machine failure,TWF,HDF,PWF,OSF,RNF
1,L00001,L,297.0,306.4,1678,27.8,120,0,0,0,0,0,0
2,H00001,H,297.7,307.3,1539,33.8,138,0,0,0,0,0,0
3,M00001,M,300.8,309.8,1655,21.3,242,0,0,0,0,0,0
4,M00002,M,297.7,306.8,1356,39.3,102,0,0,0,0,0,0
5,L00002,L,302.2,312.6,1563,45.9,88,0,0,0,0,0,0
6,L00003,L,299.9,310.0,1412,26.5,237,0,0,0,0,0,0
7,L00004,L,300.2,310.7,1319,40.2,102,0,0,0,0,0,0
8,H00002,H,299.4,309.6,1383,32.0,23,0,0,0,0,0,0
9,M00003,M,301.5,312.2,1440,46.7,21,0,0,0,0,0,0
10,M00004,M,301.6,312.5,1760,16.9,170,1,0,0,1,0,0
11,L00005,L,300.7,309.0,1435,47.1,178,0,0,0,0,0,0
12,H00003,H,301.1,310.2,1310,21.8,239,1,1,0,1,0,0
13,H00004,H,299.6,309.4,1561,37.9,176,0,0,0,0,0,0
14,L00006,L,301.1,311.1,1543,32.9,121,0,0,0,0,0,0
15,L00007,L,299.3,308.6,1449,36.4,237,1,1,0,0,0,0
16,L00008,L,300.0,310.9,1509,24.7,119,0,0,0,0,0,0
17,L00009,L,299.5,311.5,1712,56.6,21,1,0,0,1,0,0
18,M00005,M,299.1,309.3,1658,27.1,78,0,0,0,0,0,0
19,L00010,L,298.6,308.7,1642,27.9,17,0,0,0,0,0,0
20,L00011,L,300.9,311.7,1326,57.9,43,0,0,0,0,0,0
21,M00006,M,302.6,310.7,2054,43.2,108,1,0,0,1,0,0
22,L00012,L,302.3,312.3,1726,27.5,31,0,0,0,0,0,0
23,L00013,L,297.5,308.5,1630,38.7,185,0,0,0,0,0,0
24,L00014,L,302.6,312.0,1329,37.6,55,0,0,0,0,0,0
25,L00015,L,299.4,308.2,1707,23.1,227,0,0,0,0,0,0
26,M00007,M,301.2,311.0,1448,32.4,73,0,0,0,0,0,0
27,L00016,L,298.2,308.1,1503,39.7,8,0,0,0,0,0,0
28,M00008,M,300.3,309.4,1237,52.7,190,0,0,0,0,0,0
29,M00009,M,300.6,312.7,1315,38.1,235,0,0,0,0,0,0
30,L00017,L,297.0,306.5,1616,38.9,88,0,0,0,0,0,0
31,M00010,M,301.2,310.0,1718,31.8,120,0,0,0,0,0,0
32,L00018,L,302.7,312.6,1660,51.0,131,0,0,0,0,0,0
33,L00019,L,299.7,310.6,1654,49.0,37,0,0,0,0,0,0
34,H00005,H,302.7,312.7,1526,47.9,237,0,0,0,0,0,0
35,H00006,H,299.6,310.1,1465,41.1,99,0,0,0,0,0,0
36,H00007,H,301.7,310.8,1589,24.0,249,0,0,0,0,0,0
37,L00020,L,295.6,307.1,1685,50.9,41,0,0,0,0,0,0
38,L00021,L,304.8,315.4,1538,40.6,228,0,0,0,0,0,0
39,M00011,M,303.0,314.0,1754,36.9,230,0,0,0,0,0,0
40,L00022,L,299.4,309.8,1499,44.5,134,0,0,0,0,0,0
41,L00023,L,296.1,306.9,1362,42.2,169,0,0,0,0,0,0
42,L00024,L,300.6,309.7,1536,29.3,117,0,0,0,0,0,0
43,L00025,L,297.1,306.6,1556,36.8,59,0,0,0,0,0,0
44,H00008,H,300.9,312.2,1523,21.0,89,1,0,0,1,0,0
45,L00026,L,300.8,312.4,1767,40.9,147,0,0,0,0,0,0
46,M00012,M,298.1,307.0,1682,53.3,190,1,0,0,1,0,0
47,L00027,L,302.2,312.4,1281,22.0,236,1,0,0,1,0,0
48,M00013,M,301.6,311.2,1812,41.3,123,0,0,0,0,0,0
49,M00014,M,302.0,311.3,1168,46.7,124,0,0,0,0,0,0
50,L00028,L,300.0,310.3,1923,48.2,110,1,0,0,1,0,0
51,H00009,H,297.2,308.3,1486,32.5,20,0,0,0,0,0,0
52,M00015,M,302.0,312.5,1504,29.0,126,0,0,0,0,0,0
53,H00010,H,299.5,309.2,1527,34.1,132,0,0,0,0,0,0
54,H00011,H,297.2,307.7,1606,51.9,120,0,0,0,0,0,0
55,M00016,M,302.7,312.3,1537,22.9,29,0,0,0,0,0,0
56,H00012,H,304.2,314.6,1514,27.8,62,0,0,0,0,0,0
57,L00029,L,299.9,311.3,1772,35.4,239,1,1,0,0,0,0
58,L00030,L,304.3,312.2,1639,30.2,186,0,0,0,0,0,0
59,L00031,L,300.2,311.0,1366,39.6,37,0,0,0,0,0,0
60,L00032,L,299.2,307.7,1670,54.1,163,1,0,0,1,0,0
61,L00033,L,298.7,309.9,1631,28.0,37,0,0,0,0,0,0
62,L00034,L,303.3,312.7,1440,38.5,22,0,0,0,0,0,0
63,H00013,H,298.4,307.2,1679,39.9,150,0,0,0,0,0,0
64,L00035,L,301.5,312.2,1509,36.7,57,0,0,0,0,0,0
65,L00036,L,298.9,309.3,1498,24.2,175,0,0,0,0,0,0
66,M00017,M,299.1,308.1,1493,33.6,242,0,0,0,0,0,0
67,L00037,L,302.1,310.8,1168,33.7,133,0,0,0,0,0,0
68,H00014,H,299.2,309.0,1443,46.3,106,0,0,0,0,0,0
69,L00038,L,299.2,308.0,1665,44.2,173,0,0,0,0,0,0
70,H00015,H,302.3,311.2,1533,24.5,86,0,0,0,0,0,0
71,M00018,M,303.2,313.3,1307,36.1,142,0,0,0,0,0,0
72,L00039,L,301.3,310.3,1710,35.0,0,0,0,0,0,0,0
73,L00040,L,298.7,309.1,1484,59.5,99,1,0,0,1,0,0
74,H00016,H,299.0,310.5,1319,42.9,230,0,0,0,0,0,0
